lat,long,aptos_por_local,local_de_votacao,zona_eleitoral_nro,bairro,endereco,secoes_eleitorais,zona_eleitoral_nome,secao,PT,PMDB,PSDB,PSD
-46.776535,-23.678562,4081.0,INSTITUTO CASTELO DE EDUCAÇÃO,20.0,JARDIM SORAIA,"RUA ABÍLIO CÉSAR, 25, São Paulo",Da 302ª à 307ª; 347ª; 351ª; 357ª; 360ª; 365ª;,VALO VELHO,3607.0,596.0,194.0,286.0,139.0
-46.79726,-23.67836,4424.0,EMEF. THEODOMIRO MONTEIRO DO AMARAL,20.0,JARDIM DOM JOSE,"RUA ACARIRANA, 51, São Paulo",Da 202ª à 213ª; 378ª; 398ª;,VALO VELHO,3266.0,896.0,114.0,528.0,124.0
-46.77133900000001,-23.67815,3355.0,EMEF. DOUTOR JOÃO PEDRO DE CARVALHO NETO,373.0,JARDIM SAO JOSE,"RUA ALFREDO OMETECIDIO, 339, São Paulo",371ª; 386ª; 403ª; 413ª; 425ª; 431ª; 435ª; 439ª; 443ª; 620ª;,CAPÃO REDONDO,4366.0,523.0,157.0,212.0,118.0
-46.787189,-23.67787,6564.0,EE. DR. AFIZ GEBARA,20.0,JARDIM COMERCIAL,"RUA BACIA DE SÃO FRANCISCO, S/N, São Paulo",Da 14ª à 32ª.,VALO VELHO,437.0,1346.0,216.0,461.0,203.0
-46.742279,-23.677534,1348.0,EMEI DINAH SILVEIRA DE QUEIROZ,372.0,JARDIM SANTA EDWIGES,"RUA SEBASTIÃO SENRET,137, São Paulo",339ª; 351ª; 375ª; 415ª; 602ª;,PIRAPORINHA,2082.0,134.0,100.0,94.0,43.0
-46.757702,-23.677509,2242.0,EMEI VILA REMO,372.0,PARQUE SANTO AMARO,"RUA ITAPAROQUERA, S/N, São Paulo",340ª; 360ª; 380ª; 399ª; 413ª; 438ª;,PIRAPORINHA,2330.0,353.0,57.0,134.0,79.0
-46.753796,-23.676975,1016.0,LAR INFANTIL ALAN KARDEC,372.0,PARQUE SANTO AMARO,"RUA CAPÃO REDONDO, 1, São Paulo",529ª; 556ª; 573ª; 621ª;,PIRAPORINHA,2279.0,136.0,31.0,53.0,19.0
-46.665214,-23.676832,4443.0,EMEF. PRESTES MAIA,418.0,JARDIM NITERÓI,"RUA SELMA KURTZ, 166, São Paulo",Da 1ª à 5ª; 358ª; 364ª; 369ª; 378ª; 391ª; 398ª; 401ª;,PEDREIRA,2674.0,708.0,180.0,274.0,242.0
-46.738354,-23.676594,5007.0,EE. PAULO OCTÁVIO DE AZEVEDO,372.0,JARDIM BANDEIRANTE,"AVENIDA ANTONIO VIEIRA MISTURA,4, São Paulo",204ª; 223ª; 236ª; 252ª; 270ª; 290ª; 303ª; 322ª; 414ª; 459ª; 492ª; 527ª; 578ª; 641ª;,PIRAPORINHA,5211.0,600.0,221.0,371.0,146.0
-46.785225,-23.676561,5733.0,EE. PROFª MAUD SÁ DE MIRANDA MONTEIRO,20.0,JARDIM COMERCIAL,"RUA FALKENBERG, 240, São Paulo",Da 250ª à 266ª.,VALO VELHO,4386.0,1131.0,190.0,402.0,154.0
