aptos_por_local,bairro,endereco,lat,local_de_votacao,long,secoes_eleitorais,zona_eleitoral_nome,zona_eleitoral_nro
1829,VILA VERDE,"RUA ORLANDO FRATUCCELLI, 150, São Paulo",-23.547937,EMEI VILA VERDE,-46.451569,815ª; 827ª; 842ª; 847ª; 854ª; 870ª;,ITAQUERA,248
6967,VILA PROGRESSO,"RUA INAJA GUAÇU, 13, São Paulo",-23.532986,EMEF. PADRE JOSÉ DE ANCHIETA,-46.445389,Da 435ª à 450ª; Da 516ª à 517ª;,ITAQUERA,248
4671,PARQUE BOTURUSSU,"AV. SÃO MIGUEL, 4.335, São Paulo",-23.50245,COLÉGIO CARLOS DRUMMOND DE ANDRADE,-46.489334,Da 306ª à 313ª; 536ª; 557ª; 559ª; 574ª; 618ª; 628ª;,ERMELINO MATARAZZO,326
5763,VILA RICA,"AV. DR. ASSIS RIBEIRO, 8.402, São Paulo",-23.490171,E.E. PROFª BENEDITA DE REZENDE,-46.493111,Da 1ª à 11ª; 580ª; 625ª; 645ª; 745ª;,ERMELINO MATARAZZO,326
4060,VILA SÃO FRANCISCO,"RUA ANTÔNIO DE TOLEDO LARA FILHO, 116, São Paulo",-23.526218,EE. PROFESSOR LUIZ GONZAGA DE CARVALHO MELO,-46.492081,Da 239ª à 248ª; 266ª; 340ª;,PONTE RASA,392
6758,VILA CURUÇÁ,"RUA JOÃO MAXIMIANO MAFRA, 6, São Paulo",-23.498357,EE. SHINQUICHI AGARI,-46.428566,388ª; 430ª; 437ª; 441ª; 457ª; 476ª; 492ª; 514ª; 534ª; 545ª; 571ª; 726ª; 737ª; 755ª; Da 759ª à 760ª; 762ª;,SÃO MIGUEL PAULISTA,247
7472,VILA MARIANA,"RUA COLÔNIA DA GLÓRIA, 536, São Paulo",-23.584441,EE. PROF. ROLDÃO LOPES DE BARROS,-46.62632,Da 273ª à 293ª.,VILA MARIANA,6
6304,PARQUE SAVOI CITY,"RUA VITALINO DOS SANTOS, 85, São Paulo",-23.561784,EE. DR. PAULO LAURO,-46.473885,Da 177ª à 191ª; 284ª;,PARQUE DO CARMO,417
4686,TERCEIRA DIVISÃO,"AV. SAPOPEMBA, 21964, São Paulo",-23.605363,EE. PROFA. RITA PINTO DE ARAÚJO,-46.416721,Da 38ª à 47ª; 296ª; 331ª;,CIDADE TIRADENTES,404
3251,COLONIA (ZONA LESTE),"ESTRADA DO PÊSSEGO, 1400, São Paulo",-23.56147,EE. PROFA. LINA DA COSTA COUTO,-46.479034,Da 162ª à 168ª; 243ª;,PARQUE DO CARMO,417
2760,VILA LIBANESA,"RUA PAULO DE LIMA CORREA, 65, São Paulo",-23.585699,EMEF. MAJOR SÍLVIO FLEMING,-46.563148,Da 330ª à 336ª; 356ª; 472ª;,VILA PRUDENTE,257
889,V DO ENCONTRO,"RUA EUDORA, 56, São Paulo",-23.65727,CEI. HELENA IRACY JUNQUEIRA,-46.637909,454ª; 470ª; 511ª;,JABAQUARA,320
2971,VILA SANTA CLARA,"RUA SÍLVIO DE SOUSA, 259, São Paulo",-23.584913,COLÉGIO PARQUE SEVILHA,-46.571217,361ª; 379ª; 389ª; 414ª; 424ª; 428ª; 438ª; 452ª;,VILA PRUDENTE,257
6921,JARDIM UMUARAMA,"AVENIDA INTERLAGOS, 1.329, São Paulo",-23.67377,UNIVERSIDADE IBIRAPUERA,-46.652756,Da 592ª à 593ª; Da 595ª à 596ª; 598ª; 601ª; 603ª; 606ª; 608ª; 610ª; 613ª; 615ª; 620ª; Da 640ª à 641ª; Da 644ª à 645ª; 647ª; 714ª;,CIDADE ADEMAR,351
1475,CIDADE JULIA,"AV. FRANCESCO MARIA MELANI, S/N, São Paulo",-23.665909,EMEF. PROF. LILIANE VERZINI SILVA,-46.673012,712ª; 718ª; 720ª; 722ª; 726ª; 730ª; 735ª;,CIDADE ADEMAR,351
3545,CHÁCARA COCAIA,"RUA TUPINAMBÁS, 71, São Paulo",-23.751411,EE. OTONIEL ASSIS DE HOLANDA,-46.711807,371ª; 375ª; 377ª; 385ª; 395ª; 400ª; 415ª; 423ª; 437ª; 446ª;,PARELHEIROS,381
6479,JARDIM UMARIZAL,"RUA JARACATIA, 488, São Paulo",-23.626911,EMEF. MINISTRO SYNÉSIO ROCHA,-46.761932,Da 81ª à 92ª; 522ª; 537ª; 553ª; 823ª; 847ª; 864ª;,CAMPO LIMPO,328
6431,PARQUE GRAJAU,"RUA MIRAFLORES, 95, São Paulo",-23.758324,EE. PROFA. MARIA JUVENAL HOMEM DE MELLO,-46.693954,259ª; Da 285ª à 286ª; 305ª; 321ª; 337ª; 354ª; 368ª; 387ª; 406ª; 434ª; 467ª; 496ª; 526ª; 543ª; 548ª;,GRAJAÚ,371
2379,CAXINGUI,"PRAÇA IMPRENSA PAULISTA, 30, São Paulo",-23.599228,EMEF. MAL. DEODORO DA FONSECA,-46.711807,Da 504ª à 505ª; Da 507ª à 508ª; 536ª; 574ª;,BUTANTÃ,346
37,PIRITUBA,"RUA STEFANO MAUSER, 651, São Paulo",-23.47335,INTERNATO PIRITUBA,-46.735939,662ª.,PIRITUBA,325
4271,FERREIRA,"RUA DR. ADOLPHO DE MELLO JÚNIOR, 156, São Paulo",-23.605992,EE. THOMAZIA MONTORO,-46.719189,Da 68ª à 78ª.,BUTANTÃ,346
5642,VILA ELZE,"RUA CORONEL AUGUSTO CELSO DE MOURA,78, São Paulo",-23.604262,EMEF. ALTINO ARANTES,-46.529846,Da 142ª à 154ª; 384ª; 616ª; 633ª;,SAPOPEMBA,350
6559,JARDIM IMBE,"RUA FRANCISCO DE ABREU,S/N, São Paulo",-23.674084,EE. PROFESSORA DAVINA AGUIAR DIAS,-46.780472,Da 153ª à 169ª; 608ª;,CAPÃO REDONDO,373
2602,VILA CAMPANELA,"RUA PIERRE JANSEN, 40, São Paulo",-23.521811,EMEI EVARISTO DA VEIGA,-46.496887,Da 187ª à 193ª; 312ª;,PONTE RASA,392
4870,JARDIM SANTA LUCRECIA,"RUA VALE DAS FLORES, 120, São Paulo",-23.455688,EMEF. ERNESTO MORAES LEME,-46.739273,Da 125ª à 129ª; 136ª; 140ª; 144ª; 147ª; 151ª; 196ª; 225ª; 238ª; 245ª; 251ª;,JARAGUÁ,403
9680,IPIRANGA,"RUA SILVA BUENO, 1412, São Paulo",-23.590839,EE. VISCONDE DE ITAÚNA,-46.601509,Da 1ª à 25ª.,IPIRANGA,260
2224,PARQUE GRAJAU,"RUA JOSÉ BEZERRA FILHO, 62, São Paulo",-23.74848,COLÉGIO SANTA RITA DE CÁSSIA,-46.686249,Da 47ª à 52ª.,GRAJAÚ,371
5401,VILA NOVA CURUÇÁ,"RUA ANANAÍ, 968, São Paulo",-23.522619,EMEF. JOÃO RIBEIRO DE BARROS,-46.418991,Da 692ª à 706ª; 750ª;,SÃO MIGUEL PAULISTA,247
3103,PARQUE SEVILHA,"RUA MADRID, 550, São Paulo",-23.575983,EMEF. BARÃO DE MAUÁ,-46.570511,Da 73ª à 80ª; 471ª;,VILA PRUDENTE,257
